Species,Region,records,AUC,threshold,Area_Km2,pot_area,distcoast_km,cent_Longitude,cent_Latitude,max_lat_lon,max_lat,min_lat_lon,min_lat
agapornis canus,continent,58,0.9967949,0.176073,489793.5,1453222,113.5691,45.66621,-20.94069,49.1,-12.92,46.96,-25.03
agapornis fischeri,continent,107,1,0.1374503,354962.3,1908451,466.0378,35.66355,-2.53514,36.02,0.61,39.36,-6.85
agapornis lilianae,continent,18,0.9469697,0.00068411,2284399,26415104,657.3425,31.29944,-14.30722,32.42,-11.87,17.08,-22.56
agapornis personatus,continent,53,0.993007,0.09715677,395202.2,1662196,382.2049,36.15491,-3.667358,36.12,-0.37,34.03,-8.87
agapornis swindernianus,continent,2,NA,NA,12.5,NA,1231.241,29.8,1.205,29.98,1.3,29.62,1.11
alisterus amboinensis,island,12,0.85,0.00116577,17112436,41199880,74.97268,71.44723,11.13506,-122.3503,47.66822,133.9092,-1.10071
amazona albifrons,continent,1601,0.9959491,0.3053102,1269046,3726496,76.86439,-91.03197,16.06653,-110.94,29.26,-83.31,8.44
amazona amazonica,continent,709,0.9915947,0.01988854,11667676,26588409,308.979,-63.72574,3.705684,-80.55,24.98,-41.9,-22.76
amazona autumnalis,continent,1539,0.9950675,0.3067423,1270089,4125872,69.59949,-86.77543,13.2142,-99.34,24,-80.52,-2.67
amazona farinosa,continent,1353,0.9970085,0.3451976,4554702,6765061,254.6425,-78.5363,4.651153,-105.29,22.34,-54.67,-20.5
amazona ochrocephala,continent,357,0.9637827,0.1325576,5729983,11865594,490.3551,-69.66832,-4.361317,-80.4,8,-63.28,-19.14
amazona viridigenalis,continent,1255,0.9984064,0.2584635,657088.3,1464085,67.83698,-107.9,29.92104,-122.2983,37.86848,-95.08997,18.4289
amazona xantholora,continent,175,1,0.2625909,163425.2,341176,55.5825,-88.19234,19.43577,-88.16,21.6,-86.3,16.23
anodorhynchus hyacinthinus,continent,81,0.9982639,0.00520533,3171272,18846263,1147.158,-55.92543,-16.61617,-54.7,-2.43,-42.77,-22.45
anodorhynchus leari,continent,2,NA,NA,12.5,NA,288.1503,-38.615,-9.98,-38.75,-9.92,-38.48,-10.04
aprosmictus erythropterus,continent,16529,0.8828945,0.3985295,4056380,7592704,201.3252,139.2104,-19.4838,140.8791,-8.449507,145.0833,-37.91666
ara ararauna,continent,577,0.9936759,0.1894993,6784222,11130214,643.792,-67.5766,-7.836083,-77.7,7.94,-54.29,-21.89
ara chloropterus,continent,456,0.9617157,0.2965183,4262220,6026134,622.2606,-64.91504,-7.84693,-62,8,-54.44,-25.64
ara macao,continent,1279,0.9993895,0.1862712,6463851,11655118,240.5572,-78.52056,4.350331,-90.13123,29.92165,-63.83194,-17.5609
ara severus,continent,582,0.9876847,0.2422274,3125956,4637206,554.624,-70.03014,-8.111151,-77.7,7.94,-56.92,-19.08
aratinga leucophthalma,continent,813,0.9839408,0.1044646,11601274,21720231,559.0976,-64.94589,-11.76443,-66.87,10.48,-57.95,-35.02
aratinga pertinax,continent,691,1,0.1756359,1899796,7952928,100.8578,-69.12366,9.587203,-64.92283,18.36378,-59.45,2.366667
bolbopsittacus lunulatus,island,67,1,0.2811872,225606,540445.7,35.0467,122.5135,12.56473,121.9518,17.55379,124.95,6.316667
bolborhynchus lineola,continent,275,1,0.05711484,1959586,6184140,150.3043,-82.80185,6.860873,-97.53,20.08,-64.67,-17.83
brotogeris chrysoptera,continent,119,0.9808559,0.1133049,2264011,5511213,511.5461,-58.3463,-0.04857143,-63.4,10.19,-53.55,-10.51
brotogeris jugularis,continent,2206,0.9992694,0.3002576,638921.2,2824227,56.2249,-83.21834,9.985336,-92.893,15.442,-74.53995,4.557367
cacatua ducorpsii,island,27,1,0.2914473,50723.33,209176.1,23.12553,158.4169,-8.186612,154.6799,-5.393257,160.1587,-9.594657
cacatua galerita,continent,2435,0.9989309,0.3177495,2852193,5988041,110.8246,146.2839,-30.62385,142.2014,-10.60083,146.08,-43.25
cacatua haematuropygia,island,14,1,0.4357647,109181.9,721082.2,27.12363,119.5748,10.22429,121.0499,14.54067,117.0833,7.9
cacatua leadbeateri,continent,294,0.9993481,0.1520444,2799339,3297142,235.771,136.3246,-31.58123,126.7,-18.7,147.0833,-41.5
cacatua sulphurea,island,21,1,0.4473948,308756.9,1215177,30.47889,111.7343,-3.419043,103.811,1.359695,123.808,-10.00722
cacatua tenuirostris,continent,3006,0.9709373,0.267466,847279.1,1457201,121.4516,144.5053,-36.67225,151.25,-28.41667,147.3618,-43.13055
callocephalon fimbriatum,continent,1797,1,0.1453914,324390.4,1339038,89.99615,148.757,-35.611,152.25,-32.1,146.3,-39.1
calyptorhynchus funereus,continent,19416,0.9999524,0.3385242,1245719,2640052,69.38463,148.9918,-34.72808,149.5211,-22.35,146.25,-43.66
calyptorhynchus lathami,continent,1092,0.9996405,0.1378545,825666.2,2483225,119.4783,151.1416,-31.45435,150.6611,-22.625,145.98,-38.58
chalcopsitta cardinalis,island,43,1,0.3561049,56466.25,165527.3,25.83116,158.4677,-8.305449,154.7089,-5.593605,160.1587,-9.594657
chalcopsitta duivenbodei,island,10,1,0.03149697,172337.8,4882743,189.6082,141.4926,-3.351845,140.0812,-2.54384,144.5471,-5.53945
charmosyna papou,island,62,1,0.4641358,110727.9,227674.5,130.614,144.7371,-6.204537,141,-4,148.0333,-9.1833
coracopsis vasa,island,13,1,0.2875703,181395.9,1326629,80.94957,48.29224,-16.86504,49.71518,-14.96502,45.16819,-21.6794
cyanoliseus patagonus,continent,166,0.9971591,0.09582027,1276331,2862331,193.7041,-68.98945,-34.61303,-66.16247,-25.11953,-66.54522,-45.11521
cyanoramphus auriceps,island,190,1,0.07312285,252555.7,964771.5,56.22306,170.8143,-43.24154,175.0571,-36.21965,166.0675,-50.81142
cyclopsitta diophthalma,island,496,1,0.2772593,75855.39,302195.2,42.7181,145.4209,-16.64619,143.5,-12.5,147.1355,-19.76225
deroptyus accipitrinus,continent,110,0.9857143,0.03230976,2423129,11182706,493.9022,-58.64386,0.4082369,-62.46826,8.196539,-54.10458,-12.14406
diopsittaca nobilis,continent,176,0.9720497,0.05796459,7994390,14286320,530.5226,-57.2565,-5.387136,-80.29555,25.71701,-46.6591,-23.5862
eclectus roratus,island,256,0.9976233,0.1689022,1280999,3867998,73.44445,144.32,-8.26847,127.7986,2.080162,145.33,-17.38
enicognathus leptorhynchus,continent,160,1,0.4299115,133034,149300.7,60.32134,-73.00579,-40.65716,-72.31276,-36.75224,-72.57019,-43.70561
eos cyanogenia,island,7,1,0.6330457,253677.2,586564.7,20.64507,62.20466,12.88141,-122.3503,47.66822,136.374,-1.25123
eos reticulata,island,3,NA,NA,156875515,NA,239.5078,-25.02063,27.53572,-121.6513,48.03732,129.5167,-7.866667
forpus passerinus,continent,417,0.9991394,0.1684978,1017239,4114740,79.13806,-66.18448,10.47618,-77.84311,18.52177,-60.57268,3.200342
geoffroyus heteroclitus,island,33,1,0.3163165,86341.84,254754,56.40532,156.1407,-7.735385,150.8752,-2.751018,160.5075,-11.78939
glossopsitta porphyrocephala,continent,6962,1,0.2168486,1607520,2067403,110.8819,132.4913,-35.01029,152.16,-29,143.5686,-38.77014
graydidascalus brachyurus,continent,131,1,0.02495994,1321767,3323883,719.0953,-71.00885,-4.092137,-75.34,-0.48,-74.74,-7.94
guaruba guarouba,continent,2,NA,NA,12.5,NA,293.4498,-53.97778,-3.11875,-51.45555,-1.7375,-56.5,-4.5
hapalopsittaca amazonina,continent,12,1,0.6591885,15271.73,69321.47,207.3186,-74.19299,6.13699,-71.06472,8.621667,-75.43456,5.069571
leptosittaca branickii,continent,68,1,0.2562652,246356.3,415840.5,194.0433,-76.85587,-3.221159,-75.46371,5.084703,-72.4801,-13.18778
loriculus aurantiifrons,island,7,0.9444444,0.03054021,674756.1,9447921,127.6296,142.5157,-5.724286,131.26,-0.88,149.73,-9.99
loriculus galgulus,island,112,0.9944904,0.1463595,1065113,2404261,62.91207,109.1825,2.865369,100.1692,6.709204,113.8345,-2.399083
loriculus philippensis,island,86,1,0.1226156,294993.7,1554323,35.25531,122.611,12.58605,120.92,18.56,124.69,6.09
lorius albidinucha,island,2,NA,NA,12.5,NA,39.38751,152.915,-4.475,152.93,-4.45,152.9,-4.5
melopsittacus undulatus,continent,19723,0.9999471,0.279359,7393576,10549972,502.258,134.6853,-25.14905,130.83,-12.45,144.01,-39.83
micropsitta finschii,island,28,1,0.439404,52412.9,198011.7,56.3273,159.4255,-9.319212,156.555,-6.815,160.4359,-11.75813
myiopsitta monachus,continent,5097,0.9800575,0.2818164,6356193,8801992,166.1465,-79.41974,22.55768,-74.25198,44.43465,-65.30486,-43.24889
nandayus nenday,continent,832,0.9941836,0.05934861,915271.4,3366375,38.75476,-87.45704,28.51164,-118.8801,39.44033,-96.77081,17.18077
nannopsittaca panychlora,continent,24,1,0.05378692,284071.9,2434376,231.7238,-61.25226,6.335831,-62.49868,10.65521,-56.5217,3.7533
neophema elegans,continent,3233,0.9997236,0.3864325,1056615,1161887,91.74149,123.8442,-33.66316,116.2094,-29.47861,141.1847,-38.00194
neopsephotus bourkii,continent,1733,0.9891481,0.1135063,4144667,4937803,567.6754,131.8496,-26.87561,130.35,-20.56,137.3369,-32.95056
neopsittacus musschenbroekii,island,42,1,0.5216153,103140.6,119921.6,136.6661,144.6139,-6.503678,138.8141,-4.147332,149.3833,-9.9292
nestor notabilis,island,397,1,0.2205213,101984,331032.7,62.67351,169.2746,-44.21067,172.8333,-41.78333,170.5217,-45.85834
northiella haematogaster,continent,8150,0.9993861,0.4540247,1813087,2365505,376.5259,144.0216,-32.22829,146.25,-24.91,145.28,-38.25
ognorhynchus icterotis,continent,23,1,0.08289439,80768.23,907375.1,198.2504,-75.72565,5.194783,-75.42,7.17,-76.08,2.33
orthopsittaca manilata,continent,480,0.9894737,0.1032489,6909349,14056152,516.1421,-67.21224,-4.319922,-61.29959,10.76552,-48.58154,-19.16592
pezoporus wallicus,continent,515,0.9995,0.2414478,509450.2,1213608,38.03049,147.301,-37.81691,144.18,-22.98,146.78,-43.62
phigys solitarius,island,148,1,0.4592624,40195.27,58476.23,30.61131,134.9359,-17.70964,-179.1608,-16.09076,-179.7569,-19.16525
pionites melanocephalus,continent,11,0.875,0.00330313,2812701,22413311,202.3778,-61.16579,4.74409,-63.1,10.12,-71.82,-3.33
pyrilia caica,continent,4,NA,NA,131484.7,NA,332.9781,-59.70822,4.10501,-61,6,-58.63,1.58
pionopsitta pileata,continent,55,1,0.2146761,634467.4,976862.7,223.2799,-48.67764,-24.34509,-40.19,-14.34,-50.38,-29.38
pionus fuscus,continent,93,1,0.1363218,1621890,3091000,310.1375,-58.60258,3.266559,-71.46,8.74,-59.18,-5.93
pionus maximiliani,continent,327,0.9931624,0.2932801,2760992,3896067,507.7223,-54.08914,-21.5837,-34.89,-8.04,-58.35,-34.61
pionus menstruus,continent,1783,0.9953819,0.08026469,8846599,21827368,334.0149,-72.54494,-0.262195,-74.05733,11.312,-63.46121,-19.40766
pionus senilis,continent,1338,0.9880952,0.3426068,798549.2,2172631,82.40469,-87.25957,13.25771,-97.92,25.16,-83.01,8.31
