Species,wing aver,tail aver,bill aver,tarsus aver,total length aver,Weight aver (g) ,source weight,,,
calyptorhynchus lathami,350,214.95,45.85,25.1,480,426,,,,
callocephalon fimbriatum,254,146,30.5,24,340,272,,,,
cacatua leadbeateri,269.05,139.95,30.75,25.4,500,367.5,,,,
cacatua galerita,336.55,216.3,43.05,26.3,370,895,,,,
cacatua haematuropygia,214.85,104.1,26.45,22.9,310,300,http://www.arkive.org/philippine-cockatoo/cacatua-haematuropygia/,,,
cacatua tenuirostris,277.05,124.65,47.35,27.9,230,566,,,,
cacatua ducorpsii,247.35,112.05,31.1,24.7,190,352.5,,,,
chalcopsitta atra,182.7,126.4,23.1,23.9,310,260,,,,
chalcopsitta scintillata,170.2,104.75,20.7,22.1,180,212.5,,,,
chalcopsitta cardinalis,178.55,140.6,21.35,21.55,220,195,,,,
eos cyanogenia,159.45,98.45,21.45,20.4,170,120,,,,
trichoglossus johnstoniae,108.2,68.35,13.7,14.1,200,55,,,,
trichoglossus rubiginosus,143.25,94.05,18.95,17.75,240,77.5,,,,
trichoglossus chlorolepidotus,124.35,99.75,16.1,15.05,230,79.5,,,,
psitteuteles versicolor,113.5,68,12.5,15.5,190,58.5,,,,
psitteuteles goldiei,106.5,74.55,13.5,14.1,180,46,,,,
lorius lory,162.35,94.6,24.55,23.35,240,229,,,,
lorius hypoinochrous,168.25,88.5,23.9,21.65,190,220,,,,
vini peruviana,111.65,67.35,10.5,14.75,360,32.5,,,,
glossopsitta concinna,128.55,91.05,13.45,14.85,400,56,,,,
glossopsitta pusilla,100.45,60.65,10.7,12.55,360,43.5,,,,
charmosyna palmarum,94.2,87.55,11.9,11.7,170,36.5,,,,
charmosyna rubrigularis,82.05,65.9,1,11.15,250,27.5,,,,
charmosyna rubronotata,82.9,64.7,11.95,11.55,500,32.5,,,,
charmosyna placentis,88.15,65.05,12.8,12.35,350,43,,,,
charmosyna margarethae,108.25,90.75,14.15,14.1,140,50,,,,
